Temperature,L,R,A_M,Type,Color_encode,Spectral_Class_encode
3068,0.0024,0.17,16.12,0,3,5
3042,0.0005,0.1542,16.6,0,3,5
2600,0.0003,0.102,18.7,0,3,5
2800,0.0002,0.16,16.65,0,3,5
1939,0.000138,0.103,20.06,0,3,5
2840,0.00065,0.11,16.98,0,3,5
2637,0.00073,0.127,17.22,0,3,5
2600,0.0004,0.096,17.4,0,3,5
2650,0.00069,0.11,17.45,0,3,5
2700,0.00018,0.13,16.05,0,3,5
3600,0.0029,0.51,10.69,1,3,5
3129,0.0122,0.3761,11.79,1,3,5
3134,0.0004,0.196,13.21,1,3,5
3628,0.0055,0.393,10.48,1,3,5
2650,0.0006,0.14,11.782,1,3,5
3340,0.0038,0.24,13.07,1,3,5
2799,0.0018,0.16,14.79,1,3,5
3692,0.00367,0.47,10.8,1,3,5
3192,0.00362,0.1967,13.53,1,3,5
3441,0.039,0.351,11.18,1,3,5
25000,0.056,0.0084,10.58,2,1,1
7740,0.00049,0.01234,14.02,2,4,0
7220,0.00017,0.011,14.23,2,4,2
8500,0.0005,0.01,14.5,2,4,0
16500,0.013,0.014,11.89,2,1,1
12990,8.50E-05,0.00984,12.23,2,6,2
8570,0.00081,0.0097,14.2,2,1,0
7700,0.00011,0.0128,14.47,2,6,2
11790,0.00015,0.011,12.59,2,6,2
7230,8.00E-05,0.013,14.08,2,5,2
32622,204000,10.6,-4.7,3,0,6
30000,28840,6.3,-4.2,3,1,1
15276,1136,7.2,-1.97,3,1,1
9700,74,2.89,0.16,3,4,1
5800,0.81,0.9,5.05,3,6,2
8052,8.7,1.8,2.42,3,4,0
6757,1.43,1.12,2.41,3,6,2
6380,1.35,0.98,2.93,3,6,2
5936,1.357,1.106,4.46,3,6,2
5587,0.819,0.99,5.03,3,6,2
3826,200000,19,-6.93,4,3,5
3365,340000,23,-6.2,4,3,5
3270,150000,88,-6.02,4,3,5
3200,195000,17,-7.22,4,3,5
3008,280000,25,-6,4,3,5
3600,320000,29,-6.6,4,3,5
3575,123000,45,-6.78,4,3,5
3574,200000,89,-5.24,4,3,5
3625,184000,84,-6.74,4,3,5
32622,220000,26,-6.1,4,0,1
3490,270000,106.720875,-9.4,5,3,5
3750,283000,106.720875,-7.63,5,3,5
3834,272000,106.720875,-9.2,5,3,5
3749,495124.9987,106.720875,-8.05,5,2,5
3650,310000,106.720875,-7.79,5,3,5
3450,263000,106.720875,-11.75,5,3,5
3660,363000,106.720875,-11.92,5,3,5
3450,174000,106.720875,-11.28,5,3,5
3752,209000,106.720875,-11.24,5,3,5
3535,195000,106.720875,-11.36,5,3,5
3341,0.0056,0.057,16.23,0,3,5
3432,0.00067,0.19,16.94,0,3,5
2983,0.00024,0.094,16.09,0,3,5
2835,0.00034,0.0918,16.96,0,3,5
2935,0.00014,0.116,18.89,0,3,5
3295,0.00098,0.132,17.13,0,3,5
2945,0.00032,0.093,18.34,0,3,5
2817,0.00098,0.0911,16.45,0,3,5
2774,0.00036,0.118,17.39,0,3,5
2871,0.00072,0.12,19.43,0,3,5
3345,0.021,0.273,12.3,1,3,5
3607,0.022,0.38,10.12,1,3,5
3304,0.0085,0.18,13.2,1,3,5
3150,0.0088,0.35,11.94,1,3,5
3550,0.004,0.291,10.89,1,3,5
3180,0.001,0.35,11.76,1,3,5
2890,0.0034,0.24,13.46,1,3,5
3342,0.0015,0.307,11.87,1,3,5
2621,0.0006,0.098,12.81,1,3,5
3158,0.00135,0.161,13.98,1,3,5
7100,0.00029,0.012,14.09,2,6,2
10574,0.00014,0.0092,12.02,2,4,2
8930,0.00056,0.0095,13.78,2,4,0
17200,0.00098,0.015,12.45,2,1,1
14100,0.00067,0.0089,12.17,2,1,1
9675,0.00045,0.0109,13.98,2,1,0
12010,0.00078,0.0092,12.13,2,1,1
10980,0.00074,0.0087,11.19,2,1,1
13720,0.00018,0.00892,12.97,2,4,2
19860,0.0011,0.0131,11.34,2,0,1
5300,0.59,0.91,5.49,3,6,2
4526,0.153,0.865,6.506,3,5,4
4077,0.085,0.795,6.228,3,5,4
4980,0.357,1.13,4.78,3,5,4
9030,45,2.63,1.45,3,1,0
11250,672,6.98,-2.3,3,1,0
5112,0.63,0.876,4.68,3,2,4
7720,7.92,1.34,2.44,3,6,2
12098,689,7.01,0.02,3,1,0
32622,198000,10.2,-4.4,3,0,6
32622,240000,12,-6.5,4,0,1
32622,495124.9987,14,-6.23,4,0,6
23000,127000,36,-5.76,4,0,6
17120,235000,83,-6.89,4,0,6
